epoch,accuracy,loss,val_accuracy,val_loss
0,0.3589814603328705,1.335902452468872,0.4524495601654053,1.287428855895996
1,0.6321616172790527,1.020028829574585,0.6311239004135132,0.9703596234321594
2,0.7841129302978516,0.6087674498558044,0.7146974205970764,0.7993887662887573
3,0.846388041973114,0.4347971975803375,0.7118155360221863,0.7452385425567627
4,0.8724052309989929,0.34754085540771484,0.7002881765365601,0.7930207848548889
5,0.9042347073554993,0.284322053194046,0.7204610705375671,0.838958740234375
6,0.9219484925270081,0.23282268643379211,0.6945244669914246,0.87675541639328
7,0.9349570870399475,0.2002715915441513,0.7060518860816956,0.8969722986221313
8,0.9463050365447998,0.17068937420845032,0.6887608170509338,0.9555742144584656
9,0.9554386734962463,0.15266473591327667,0.6858789920806885,1.0806026458740234
10,0.9606974720954895,0.1326901614665985,0.7031700015068054,1.064345359802246
11,0.9673401713371277,0.11142420768737793,0.6974063515663147,1.1240183115005493
12,0.9659562706947327,0.11158831417560577,0.6916426420211792,1.1365739107131958
13,0.9678937196731567,0.09602562338113785,0.6829971075057983,1.2107230424880981
14,0.9709382653236389,0.09768461436033249,0.6858789920806885,1.2673689126968384
15,0.9717686176300049,0.08766443282365799,0.6829971075057983,1.3022640943527222
16,0.971491813659668,0.08720095455646515,0.680115282535553,1.3343907594680786
17,0.9723221659660339,0.08391333371400833,0.6858789920806885,1.341626524925232
18,0.9767506122589111,0.07419080287218094,0.6945244669914246,1.362915277481079
19,0.9759202599525452,0.07531685382127762,0.6772334575653076,1.4991059303283691
20,0.976473867893219,0.06846439838409424,0.680115282535553,1.4522769451141357
21,0.9767506122589111,0.0633808821439743,0.6772334575653076,1.4468934535980225
22,0.9781345129013062,0.06829559057950974,0.6887608170509338,1.4877067804336548
23,0.975643515586853,0.06718699634075165,0.6685879230499268,1.5353881120681763
24,0.9784113168716431,0.06177154928445816,0.6974063515663147,1.5532370805740356
